Load (N)	Extension (mm)
	
	
	
	
-2.5056	
-2.5057	-1.2741
-2.5057	-1.2741
-2.5058	-1.2741
-2.5058	-1.2741
-2.5059	-1.2741
-2.5060	-1.2741
-2.5060	-1.2741
-2.5061	-1.2741
-2.5062	-1.2741
-2.5062	-1.2741
-2.5063	-1.2741
-2.5063	-1.2741
-2.5064	-1.2741
-2.5065	-1.2741
-2.5065	-1.2741
-2.5066	-1.2741
-2.5066	-1.2741
-2.5067	-1.2741
-2.5068	-1.2741
-2.5068	-1.2741
-2.5069	-1.2741
-2.5069	-1.2741
-2.5070	-1.2741
-2.5071	-1.2741
-2.5071	-1.2741
-2.5072	-1.2741
-2.5073	-1.2741
-2.5073	-1.2741
-2.5074	-1.2741
-2.5074	-1.2741
-2.5075	-1.2741
-2.5076	-1.2741
-2.5076	-1.2741
-2.5077	-1.2741
-2.5077	-1.2713
-2.5078	-1.2605
-1.8638	-1.2430
-1.0859	-1.2229
-0.98288	-1.2028
-0.87986	-1.1827
-0.77683	-1.1623
-0.67381	-1.1373
-0.57078	-1.1124
-0.46776	-1.0874
-0.36473	-1.0624
-0.26171	-1.0367
-0.15868	-1.0099
-0.055655	-0.98302
0.047371	-0.95618
0.15040	-0.92935
0.25342	-0.90252
0.35645	-0.87569
0.45947	-0.84885
0.56250	-0.82202
0.66552	-0.79519
0.76855	-0.76835
0.87157	-0.74136
0.97460	-0.71426
1.0776	-0.68715
1.1998	-0.66004
1.3438	-0.63293
1.4879	-0.60582
1.6320	-0.57872
1.7760	-0.55161
1.9201	-0.52450
2.0641	-0.49739
2.2082	-0.47029
2.3523	-0.44318
2.4963	-0.41607
2.6404	-0.38896
2.7845	-0.36185
2.9285	-0.33475
3.0726	-0.30764
3.2166	-0.28053
3.3607	-0.25342
3.5048	-0.22631
3.6488	-0.19921
3.7929	-0.17210
3.9370	-0.14499
4.0810	-0.11788
4.2251	-0.090776
4.3691	-0.063668
4.5132	-0.036560
4.6573	-0.0094521
4.8013	0.017656
4.9454	0.044367
5.0895	0.068235
5.1292	0.082830
5.0912	0.090342
5.0532	0.090759
5.0152	0.091177
4.9772	0.091595
4.9392	0.092013
4.9012	0.092430
4.8632	0.092848
4.8253	0.093266
4.7873	0.093634
4.7493	0.093869
4.7113	0.094105
4.6733	0.093849
4.6353	0.091289
4.5973	0.083178
4.5130	0.070586
3.8722	0.043928
3.2313	0.017269
2.5905	-0.0093887
1.9496	-0.034382
1.5178	-0.059337
1.3653	-0.084292
1.2128	-0.10925
1.0604	-0.13420
0.90789	-0.15916
0.75542	-0.18540
0.60295	-0.21201
0.45049	-0.23862
0.29802	-0.26523
0.14555	-0.29184
-0.0069127	-0.31845
-0.15938	-0.34506
-0.31185	-0.37167
-0.46431	-0.39828
-0.61678	-0.42489
-0.76924	-0.45150
-0.92171	-0.47811
-1.0742	-0.50472
-1.2266	-0.53133
-1.3791	-0.55794
-1.5316	-0.58455
-1.6840	-0.61116
-1.8365	-0.63776
-1.9890	-0.66437
-2.1414	-0.69098
-2.2939	-0.71759
-2.4464	-0.74420
-2.5988	-0.77081
-2.7513	-0.79742
-2.9038	-0.82403
-3.0562	-0.85064
-3.2087	-0.87739
