Load (N)	Extension (mm)
	
	
1.5135	-0.34454
1.5250	-0.34454
1.5366	-0.34454
1.5481	-0.34454
1.5597	-0.34454
1.5713	-0.34454
1.5828	-0.34454
1.5944	-0.34454
1.6060	-0.34454
1.6175	-0.34454
1.6291	-0.34454
1.6406	-0.34454
1.6522	-0.33699
3.0046	-0.28441
3.5454	-0.22319
3.8725	-0.15555
4.1997	-0.084229
4.5269	-0.010003
4.8540	0.061326
4.9568	0.098055
4.1212	0.097302
4.3302	0.10318
4.5393	0.10317
4.3178	0.10165
3.9384	0.064892
3.1536	-0.0020714
2.3689	-0.066640
1.5841	-0.13771
0.79929	-0.20977
0.028694	-0.28188
-0.50145	-0.35501
-1.0316	-0.42814
-1.5617	-0.50127
-2.0919	-0.57459
-2.6220	-0.64930
-3.1522	-0.72402
-3.6823	-0.79873
-4.2125	-0.87344
-4.7426	-0.94815
-5.2728	-1.0229
-5.8029	-1.0976
-6.3331	-1.1723
-6.8632	-1.2470
-7.3934	-1.3217
-7.9235	-1.3964
-8.4537	-1.4711
-8.9838	-1.5459
-9.5140	-1.6206
-10.044	-1.6953
-10.574	-1.7698
-11.104	-1.8443
-11.635	-1.9189
-12.165	-1.9934
-12.695	-2.0679
-13.225	-2.1424
-13.755	-2.2170
-14.285	-2.2915
-14.815	-2.3660
-15.346	-2.4405
-15.876	-2.5149
-16.406	-2.5890
-16.936	-2.6631
-17.466	-2.7371
-17.996	-2.8110
-18.526	-2.8848
-19.057	-2.9588
-19.587	-3.0327
-20.117	-3.1066
-20.647	-3.1805
-21.174	-3.2544
-21.678	-3.3283
-22.182	-3.4022
-22.686	-3.4761
-23.190	-3.5501
-23.694	-3.6240
-24.197	-3.6979
-24.701	-3.7718
-25.205	-3.8457
-25.709	-3.9196
-26.213	-3.9935
-26.717	-4.0675
-27.220	-4.1417
-27.724	-4.2158
-28.228	-4.2900
-28.732	-4.3641
-29.236	-4.4383
-29.740	-4.5124
-30.243	-4.5866
-30.747	-4.6607
-31.251	-4.7348
-31.755	-4.8090
-32.259	-4.8831
-32.763	-4.9573
-33.266	-5.0314
-33.770	-5.1056
-34.274	-5.1797
-34.778	-5.2538
-35.282	-5.3280
-35.786	-5.4021
-36.290	-5.4762
-36.793	-5.5503
-37.297	-5.6244
-37.801	-5.6985
-38.305	-5.7725
-38.809	-5.8466
-39.313	-5.9207
-39.816	-5.9948
-40.320	-6.0689
-40.824	-6.1430
-41.328	-6.2171
-41.832	-6.2912
-42.336	-6.3653
-42.839	-6.4393
-43.343	-6.5134
-43.847	-6.5875
-44.351	-6.6616
-44.855	-6.7356
-45.359	-6.8097
-45.862	-6.8838
-46.366	-6.9578
-46.870	-7.0319
-47.374	-7.1059
-47.878	-7.1800
-48.382	-7.2541
-48.885	-7.3281
-49.389	-7.4022
-49.893	-7.4763
-50.397	-7.5503
-50.901	-7.6244
-51.405	-7.6985
-51.909	-7.7725
-52.412	-7.8466
-52.916	-7.9206
-53.420	-7.9947
-53.924	-8.0688
-54.448	-8.1428
-54.976	-8.2169
-55.504	-8.2910
-56.032	-8.3650
-56.559	-8.4391
-57.087	-8.5132
-57.615	-8.5872
-58.143	-8.6613
