Load (N)	Extension (mm)
	
	
	
	
9.6235	
9.6263	0.043945
9.6290	0.043945
9.6318	0.043945
9.6345	0.043945
9.6372	0.043945
9.6400	0.043945
9.6427	0.043945
9.6455	0.043945
9.6482	0.043945
9.6509	0.043945
9.6537	0.043945
9.6564	0.043945
9.6592	0.043945
9.6619	0.043945
9.6647	0.043945
9.6674	0.043945
9.6701	0.043945
9.6729	0.043945
9.6756	0.043945
9.6784	0.043945
9.6811	0.043945
9.6838	0.043945
9.6866	0.043945
9.6893	0.043945
9.6921	0.043945
9.6948	0.043945
9.6975	0.043945
9.7003	0.043945
9.7030	0.043945
9.7058	0.043945
9.7085	0.043945
9.7112	0.043945
9.7140	0.043945
9.7167	0.043945
9.7195	0.043945
9.7222	0.042893
9.7249	0.037908
9.3732	0.021996
8.7493	-0.00091904
6.2305	-0.033899
4.4924	-0.061107
3.7629	-0.080857
3.0334	-0.078416
3.0653	-0.069227
5.3429	-0.052161
8.4050	-0.048036
11.449	-0.051402
8.9302	-0.066358
6.4111	-0.082324
3.8921	-0.099389
3.0955	-0.11424
2.5184	-0.12423
1.9414	-0.12327
3.1647	-0.11894
5.1455	-0.11372
7.1264	-0.11276
7.7034	-0.11490
6.9880	-0.11989
6.2726	-0.14108
4.8877	-0.16462
2.1888	-0.19031
1.3698	-0.21302
1.1908	-0.23470
1.0118	-0.25639
0.83277	-0.27972
0.65376	-0.30434
0.47475	-0.32895
0.29574	-0.35357
0.11673	-0.37818
-0.062277	-0.40414
-0.24129	-0.43047
-0.42030	-0.45679
-0.59930	-0.48311
-0.77831	-0.50943
-0.95732	-0.53575
-1.1363	-0.56207
-1.3153	-0.58839
-1.4944	-0.61472
-1.6734	-0.64104
-1.8524	-0.66736
-2.0314	-0.69368
-2.2104	-0.72000
-2.3894	-0.74632
-2.5684	-0.77264
-2.7474	-0.79897
-2.9264	-0.82529
-3.1054	-0.85161
-3.2844	-0.87793
-3.4635	-0.90425
-3.6425	-0.93057
-3.8215	-0.95689
-4.0005	-0.98322
-4.1795	-1.0095
-4.3585	-1.0359
-4.5375	-1.0623
-4.7165	-1.0886
-4.8955	-1.1150
-5.0745	-1.1414
-5.2535	-1.1678
-5.4326	-1.1941
-5.6116	-1.2205
-5.7906	-1.2469
-5.9696	-1.2733
-6.1486	-1.2996
-6.3276	-1.3260
-6.5066	-1.3524
-6.6856	-1.3787
-6.8646	-1.4051
-7.0436	-1.4315
-7.2226	-1.4579
-7.4017	-1.4842
-7.5807	-1.5105
-7.7597	-1.5367
-7.9387	-1.5630
-8.1177	-1.5892
-8.2967	-1.6155
-8.4757	-1.6418
-8.6547	-1.6680
-8.8337	-1.6943
-9.0127	-1.7206
-9.1918	-1.7473
-9.3708	-1.7741
-9.5498	-1.8009
-9.7288	-1.8270
-9.9078	-1.8527
-10.087	-1.8783
-10.266	-1.9040
-10.445	-1.9297
-10.624	-1.9567
-10.803	-1.9838
-10.982	-2.0108
-11.161	-2.0379
-11.340	-2.0649
-11.519	-2.0911
-11.698	-2.1174
-11.877	-2.1436
-12.056	-2.1698
-12.235	-2.1960
-12.414	-2.2223
-12.593	-2.2485
-12.772	-2.2747
-12.951	-2.3009
