Load (N)	Extension (mm)
	
	
	
	
5.2134	0.069275
5.2156	0.069275
5.2178	0.069275
5.2200	0.069275
5.2223	0.069275
5.2245	0.069275
5.2267	0.069275
5.2289	0.069275
5.2311	0.069275
5.2334	0.069275
5.2356	0.069275
5.2378	0.069275
5.2400	0.069275
5.2422	0.069275
5.2445	0.069275
5.2467	0.069275
5.2489	0.069275
5.2511	0.069275
5.2533	0.069275
5.2556	0.069275
5.2578	0.069275
5.2600	0.069275
5.2622	0.069275
5.2644	0.069275
5.2667	0.069275
5.2689	0.069275
5.2711	0.069275
5.2733	0.069275
5.2755	0.069275
5.2778	0.069275
5.2800	0.069275
5.2822	0.069189
5.2844	0.062857
4.8125	0.051813
3.6946	0.034351
1.4606	0.014970
-0.55380	-0.000046563
-1.1840	-0.00023846
0.32358	0.0084578
2.9274	0.021117
4.8811	0.022076
4.8428	0.020229
2.5740	0.015240
1.3607	0.014458
0.60907	0.014242
0.63566	0.014026
0.66224	0.013810
0.68882	0.013594
0.71541	0.013378
0.74199	0.013162
0.76857	0.012946
0.79516	0.012730
0.82174	0.012571
0.84832	0.012524
0.87491	0.0034522
0.67964	-0.010191
-0.68808	-0.032042
-2.0558	-0.053894
-3.4235	-0.075746
-3.6385	-0.097597
-3.8282	-0.12025
-4.0180	-0.14417
-4.2077	-0.16809
-4.3974	-0.19239
-4.5871	-0.21813
-4.7768	-0.24386
-4.9665	-0.26959
-5.1562	-0.29532
-5.3459	-0.32106
-5.5356	-0.34679
-5.7253	-0.37252
-5.9150	-0.39825
-6.1047	-0.42399
-6.2944	-0.45021
-6.4841	-0.47667
-6.6738	-0.50313
-6.8635	-0.52959
-7.0532	-0.55606
-7.2429	-0.58252
-7.4326	-0.60898
-7.6223	-0.63545
-7.8120	-0.66191
-8.0017	-0.68837
-8.1914	-0.71483
-8.3811	-0.74130
-8.5708	-0.76776
-8.7605	-0.79422
-8.9502	-0.82069
-9.1399	-0.84715
-9.3296	-0.87361
-9.5193	-0.90005
-9.7090	-0.92640
-9.8987	-0.95274
-10.088	-0.97909
-10.278	-1.0054
-10.468	-1.0318
-10.658	-1.0581
-10.847	-1.0845
-11.037	-1.1108
-11.227	-1.1372
-11.416	-1.1627
-11.606	-1.1879
-11.796	-1.2150
-11.985	-1.2421
-12.175	-1.2692
-12.365	-1.2963
-12.555	-1.3231
-12.744	-1.3494
-12.934	-1.3757
-13.124	-1.4020
-13.313	-1.4283
-13.503	-1.4546
-13.693	-1.4809
-13.882	-1.5072
-14.072	-1.5335
-14.262	-1.5598
-14.452	-1.5861
-14.641	-1.6123
-14.831	-1.6386
-15.021	-1.6649
-15.210	-1.6912
-15.400	-1.7174
-15.590	-1.7436
-15.780	-1.7698
-15.969	-1.7960
-16.159	-1.8221
-16.349	-1.8483
-16.538	-1.8745
-16.728	-1.9007
-16.918	-1.9269
-17.107	-1.9530
-17.297	-1.9792
-17.487	-2.0059
-17.677	-2.0326
-17.866	-2.0594
-18.056	-2.0858
-18.246	-2.1120
-18.435	-2.1382
-18.625	-2.1644
-18.815	-2.1906
-19.004	-2.2168
-19.194	-2.2430
-19.384	-2.2692
-19.574	-2.2954
-19.763	-2.3216
